id,value_txt,detail_txt,color_ind,magnitude_txt,description_txt
1,I,Not felt,white,1.0 - 3.0,Not felt except by very few under especially favorable conditions.
2,II,Weak,white,3.0 - 3.9,"Felt only by a few people at rest, especially on upper floors of buildings."
3,III,Weak,white,3.0 - 3.9,"Felt quite noticeably by people indoors, especially on upper floors of buildings. Many people do not recognize it as an earthquake. Standing motor cars may rock slightly. Vibrations similar to the passing of a truck. Duration estimated."
4,IV,Light,white,4.0 - 4.9,"Felt quite noticeably by people indoors, especially on upper floors of buildings. Many people do not recognize it as an earthquake. Standing motor cars may rock slightly. Vibrations similar to the passing of a truck. Duration estimated."
5,V,Moderate,white,4.0 - 4.9,"Felt quite noticeably by people indoors, especially on upper floors of buildings. Many people do not recognize it as an earthquake. Standing motor cars may rock slightly. Vibrations similar to the passing of a truck. Duration estimated."
6,VI,Strong,yellow,5.0 - 5.9,"Felt by all, many frightened. Some heavy furniture moved; a few instances of fallen plaster. Damage slight."
7,VII,Very strong,yellow,5.0 - 5.9,Damage negligible in buildings of good design and construction; slight to moderate in well-built ordinary structures; considerable damage in poorly built or badly designed structures; some chimneys broken.
8,VIII,Severe,orange,6.0 - 6.9,"Damage slight in specially designed structures; considerable damage in ordinary substantial buildings with partial collapse. Damage great in poorly built structures. Fall of chimneys, factory stacks, columns, monuments, walls. Heavy furniture overturned."
9,IX,Violent,red,6.0 - 6.9,"Damage considerable in specially designed structures; well-designed frame structures thrown out of plumb. Damage great in substantial buildings, with partial collapse. Buildings shifted off foundations. Liquefaction."
10,X,Extreme,red,7.0,Some well-built wooden structures destroyed; most masonry and frame structures destroyed with foundations. Rails bent.
11,XI,Extreme,red,7.0,"Few, if any, (masonry) structures remain standing. Bridges destroyed. Broad fissures in ground. Underground pipe lines completely out of service. Earth slumps and land slips in soft ground. Rails bent greatly."
12,XII,Extreme,red,7.0,Damage total. Waves seen on ground surfaces. Lines of sight and level distorted. Objects thrown upward into the air.
